1-комн. квартира, 37,05 м², 10/19 этаж;1;37,05;10/19;Республика Татарстан;Казань;р-н Вахитовский;м. Площадь Тукая;;13 154 113 ;297810026;4
1-комн. квартира, 43,3 м², 4/21 этаж;1;43,3;4/21;Республика Татарстан;Казань;р-н Советский;м. Горки;;10 400 000 ;293549437;4
1-комн. квартира, 41,21 м², 14/14 этаж;1;41,21;14/14;Республика Татарстан;Казань;р-н Советский;мкр. Дальний;м. Горки;10 797 576 ;290868095;5
1-комн. квартира, 37,7 м², 15/17 этаж;1;37,7;15/17;Республика Татарстан;Казань;р-н Советский;мкр. Малые Клыки;м. Дубравная;6 400 000 ;290868095;5
1-комн. квартира, 48,8 м², 4/7 этаж;1;48,8;4/7;Республика Татарстан;Казань;р-н Кировский;;м. Кремлёвская;14 411 436 ;274769528;5
1-комн. квартира, 37,5 м², 2/20 этаж;1;37,5;2/20;Республика Татарстан;Казань;р-н Советский;м. Суконная слобода;улица Аделя Кутуя;8 400 000 ;291146723;5
1-комн. квартира, 29,21 м², 11/14 этаж;1;29,21;11/14;Республика Татарстан;Казань;р-н Советский;мкр. Дальний;м. Горки;8 656 763 ;297118986;5
1-комн. квартира, 46,1 м², 16/16 этаж;1;46,1;16/16;Республика Татарстан;Казань;р-н Советский;мкр. Азино-1;м. Горки;7 300 000 ;301679916;5
1-комн. квартира, 51,7 м², 2/4 этаж;1;51,7;2/4;Республика Татарстан;Казань;р-н Вахитовский;;м. Площадь Тукая;15 768 500 ;300383757;5
1-комн. квартира, 33 м², 12/19 этаж;1;33;12/19;Республика Татарстан;Казань;р-н Советский;м. Горки;;6 990 000 ;300939692;5
1-комн. квартира, 36,5 м², 2/14 этаж;1;36,5;2/14;Республика Татарстан;Казань;р-н Приволжский;м. Проспект Победы;;7 233 000 ;300285476;5
1-комн. квартира, 38,86 м², 8/10 этаж;1;38,86;8/10;Республика Татарстан;Казань;р-н Советский;м. Горки;Лето ЖК;8 743 000 ;282777462;5
1-комн. квартира, 46,93 м², 1/8 этаж;1;46,93;1/8;Республика Татарстан;Казань;р-н Кировский;;м. Козья слобода;11 214 000 ;296519685;5
1-комн. квартира, 36,2 м², 4/9 этаж;1;36,2;4/9;Республика Татарстан;Казань;р-н Приволжский;м. Горки;;6 480 000 ;284731765;5
1-комн. квартира, 42,53 м², 18/19 этаж;1;42,53;18/19;Республика Татарстан;Казань;р-н Советский;м. Аметьево;Мечта ЖК;8 770 000 ;300681097;5
1-комн. квартира, 19 м², 2/5 этаж;1;19;2/5;Республика Татарстан;Казань;р-н Ново-Савиновский;м. Северный Вокзал;улица Короленко;2 650 000 ;296265532;5
1-комн. квартира, 36 м², 2/14 этаж;1;36;2/14;Республика Татарстан;Казань;р-н Приволжский;м. Проспект Победы;;6 699 000 ;289324282;5
1-комн. квартира, 35,54 м², 2/20 этаж;1;35,54;2/20;Республика Татарстан;Казань;р-н Приволжский;мкр. Теплоконтроль;м. Аметьево;7 150 000 ;300542921;5
1-комн. квартира, 41,09 м², 2/15 этаж;1;41,09;2/15;Республика Татарстан;Казань;р-н Авиастроительный;м. Северный Вокзал;улица Михаила Миля;7 740 000 ;300732314;5
Быстрый выход на сделку!;1;41,09;2/15;Республика Татарстан;Казань;р-н Советский;мкр. Азино-1;м. Горки;5 900 000 ;296263949;5
1-комн. квартира, 55 м², 3/4 этаж;1;55;3/4;Республика Татарстан;Казань;р-н Вахитовский;;м. Площадь Тукая;14 850 000 ;301251416;5
1-комн. квартира, 36,28 м², 3/19 этаж;1;36,28;3/19;Республика Татарстан;Казань;р-н Советский;м. Горки;;8 750 000 ;289324273;5
